"","city","name","state","avgStars","ZipCode","Type","Median..","price"
"143","Pittsburgh","McDonald's","PA",2.75,15222,"American","42,764","1"
"144","Pittsburgh","Reyna Foods","PA",4.21176470588235,15222,"LAmerican","42,764","1"
"145","Pittsburgh","Roland's Seafood Grill","PA",2.65454545454545,15222,"Other","42,764","2"
"146","Pittsburgh","Salonika Gyros","PA",3.42424242424242,15222,"European","42,764","1"
"147","Pittsburgh","Brown Bag Delis","PA",2.81818181818182,15222,"Other","42,764","1"
"148","Pittsburgh","La Gondola Pizzeria & Restaurant","PA",4.24,15222,"European","42,764","1"
"149","Pittsburgh","Christos Mediterranean Grille","PA",3.05263157894737,15222,"MiddleEastern","42,764","2"
"150","Pittsburgh","Spaghetti Warehouse","PA",2.47674418604651,15222,"European","42,764","2"
"151","Pittsburgh","Morton's The Steakhouse","PA",3.83333333333333,15222,"Other","42,764","4"
"152","Pittsburgh","Gateway Center Cafeteria","PA",3.33333333333333,15222,"Other","42,764","1"
"153","Pittsburgh","Mamma Lucia Pizza","PA",3.875,15222,"European","42,764","1"
"154","Pittsburgh","Peppi's","PA",4.09523809523809,15222,"Other","42,764","1"
"155","Pittsburgh","Buon Giorno Cafe","PA",3.4,15222,"European","42,764","2"
"156","Pittsburgh","Madonna's Restaurant","PA",4,15222,"LAmerican","42,764","1"
"157","Pittsburgh","Smithfield Cafe","PA",3.5,15222,"Other","42,764","1"
"158","Pittsburgh","Andy's Sushi Bar","PA",4.05263157894737,15222,"Asian","42,764","2"
"159","Pittsburgh","Sushi Kim Restaurant","PA",3.20731707317073,15222,"Asian","42,764","2"
"160","Pittsburgh","Redfin Blues","PA",2.62962962962963,15222,"Other","42,764","2"
"161","Pittsburgh","Arby's","PA",2,15222,"Other","42,764","1"
"162","Pittsburgh","F. Tambellini Ristorante","PA",1.875,15222,"European","42,764","2"
"163","Pittsburgh","Caffe Amante","PA",3.3,15222,"Other","42,764","2"
"164","Pittsburgh","Villa Reale Pizzeria & Restaurant","PA",3.25925925925926,15222,"European","42,764","2"
"165","Pittsburgh","Ruths Chris Steak House","PA",3.89473684210526,15222,"Other","42,764","4"
"166","Pittsburgh","Papa J's Centro","PA",3.27777777777778,15222,"European","42,764","2"
"167","Pittsburgh","Smallman Street Deli","PA",4.1,15222,"Other","42,764","1"
"168","Pittsburgh","Subway","PA",3.33333333333333,15222,"American","42,764","1"
"169","Pittsburgh","Max & Erma's Restaurants","PA",3.23529411764706,15222,"Other","42,764","2"
"170","Pittsburgh","Liang's Hunan Restaurant","PA",1.375,15222,"Asian","42,764","1"
"171","Pittsburgh","1902 Tavern","PA",2.75,15222,"Other","42,764","3"
"172","Pittsburgh","Wiener World","PA",3.57894736842105,15222,"American","42,764","1"
"173","Pittsburgh","Sammy's Famous Corned Beef","PA",2.875,15222,"Other","42,764","1"
"174","Pittsburgh","Fu Lai Chinese Restaurant","PA",2.47368421052632,15222,"Asian","42,764","1"
"175","Pittsburgh","Mark's Grille & Catering","PA",4,15222,"Other","42,764","1"
"176","Pittsburgh","Zorba's Gyros","PA",3.75,15222,"European","42,764","1"
"177","Pittsburgh","Lidia's","PA",3.63855421686747,15222,"European","42,764","3"
"178","Pittsburgh","Sports Rock Cafe","PA",2.28571428571429,15222,"Other","42,764","2"
"179","Pittsburgh","Ephesus Mediterranean Kitchen","PA",3.76190476190476,15222,"European","42,764","2"
"180","Pittsburgh","Peppi's","PA",4.05882352941176,15222,"American","42,764","1"
"181","Pittsburgh","Original Oyster House","PA",3.04938271604938,15222,"Other","42,764","1"
"182","Pittsburgh","Pizza Parma","PA",3.11764705882353,15222,"European","42,764","1"
"183","Pittsburgh","Mullaneys Harp and Fiddle","PA",3.07407407407407,15222,"European","42,764","2"
"184","Pittsburgh","My Ngoc Restaurant","PA",3.2,15222,"Asian","42,764","1"
"185","Pittsburgh","The Lemon Grass Cafe","PA",2.32142857142857,15222,"Asian","42,764","2"
"186","Pittsburgh","San Remo Pizza","PA",3.4,15222,"European","42,764","1"
"187","Aspinwall","Casa Del Sole Pizza","PA",3.75,15215,"European","73,585","1"
"188","Pittsburgh","Calabria's Italian Restaurant","PA",2.33333333333333,15224,"European","30,284",NA
"189","Pittsburgh","China House","PA",4,15224,"Asian","30,284","1"
"190","Pittsburgh","Cafe Sam","PA",3.625,15224,"Other","30,284","2"
"191","Pittsburgh","Angelo's Pizzeria","PA",3.725,15224,"European","30,284","1"
"192","Pittsburgh","Graziano's Pizzeria","PA",3.33333333333333,15224,"European","30,284","1"
"193","Pittsburgh","Pizza Italia","PA",4.27777777777778,15224,"European","30,284","2"
"194","Pittsburgh","People's Indian Restaurant","PA",3.7,15224,"Asian","30,284","2"
"195","Pittsburgh","Pho Minh","PA",3.79245283018868,15224,"Asian","30,284","1"
"196","Pittsburgh","Groceria Italiana","PA",4.54545454545455,15224,"Other","30,284","1"
"197","Pittsburgh","Armand's Bar","PA",3.33333333333333,15224,"Other","30,284","1"
"198","Pittsburgh","Taste of India","PA",4.08974358974359,15224,"Asian","30,284","2"
"199","Pittsburgh","Nico's Recovery Room","PA",3.52631578947368,15224,"Other","30,284","1"
"200","Pittsburgh","Donatelli's Italian Food Center","PA",3.5,15224,"Other","30,284","1"
"201","Pittsburgh","D'Amico's","PA",2.71428571428571,15224,"European","30,284","2"
"202","Pittsburgh","Tram's Kitchen","PA",3.93085106382979,15224,"Asian","30,284","1"
"203","Pittsburgh","Ritters Diner","PA",3.25,15224,"Other","30,284","1"
"204","Pittsburgh","Lombardozzi's Restaurant","PA",3.26315789473684,15224,"European","30,284","2"
"205","Pittsburgh","Tessaro's","PA",3.89300411522634,15224,"American","30,284","2"
"206","Pittsburgh","Pleasure Bar and Restaurant","PA",2.7843137254902,15224,"European","30,284","2"
"207","Pittsburgh","Silky's Pub","PA",3.72916666666667,15224,"Other","30,284","2"
"208","Pittsburgh","Boston Market","PA",3.83333333333333,15224,"Other","30,284","1"
"209","Pittsburgh","Lot 17 ","PA",3.84615384615385,15224,"Other","30,284","2"
"210","Pittsburgh","The Bloomfield Sandwich Shop","PA",4.04878048780488,15224,"Other","30,284","1"
"211","Pittsburgh","Alexander's Italian Bistro","PA",3.57352941176471,15224,"European","30,284","2"
"212","Pittsburgh","Sammy's Famous Corned Beef","PA",2.6,15224,"American","30,284","1"
"213","Pittsburgh","Thai Cuisine","PA",4.14864864864865,15224,"Asian","30,284","2"
"214","Pittsburgh","The Getaway Café","PA",2.88888888888889,15226,"Other","47,119","2"
"215","Pittsburgh","Fiori's Pizzaria","PA",4.40441176470588,15226,"European","47,119","1"
"216","Pittsburgh","It's Greek To Me","PA",4.31578947368421,15226,"European","47,119","2"
"217","Pittsburgh","Moonlite Cafe","PA",4.44444444444444,15226,"European","47,119","2"
"218","Pittsburgh","Bellisario's Pizza Palace","PA",3.71428571428571,15226,"European","47,119","1"
"219","Pittsburgh","Wendy's","PA",2.4,15226,"American","47,119","1"
"220","Pittsburgh","Carhops Sub Shop","PA",4.6,15226,"Other","47,119","1"
"221","Pittsburgh","McDonald's","PA",2.2,15226,"American","47,119","1"
"222","Pittsburgh","The Tong Garden","PA",4,15226,"Asian","47,119","2"
"223","Pittsburgh","Amels","PA",4.13157894736842,15226,"MiddleEastern","47,119","2"
"224","Pittsburgh","McDonald's","PA",1.8,15205,"American","47,441","2"
"225","Pittsburgh","Sesame Inn Chinese Restaurant","PA",3.82857142857143,15228,"Asian","78,749","2"
"226","Pittsburgh","China Gate","PA",2.5625,15228,"Asian","78,749","2"
"227","Pittsburgh","Il Pizzaiolo","PA",3.85526315789474,15228,"European","78,749","2"
"228","Pittsburgh","Little Tokyo","PA",4.20879120879121,15228,"Asian","78,749","2"
"229","Pittsburgh","Mineo's Pizza House","PA",3.89655172413793,15228,"European","78,749","1"
"230","Mount Lebanon","Panera Bread","PA",3.45454545454545,15228,"Other","78,749","1"
"231","Pittsburgh","The Saloon of Mt. Lebanon","PA",3.47222222222222,15228,"American","78,749","1"
"232","Pittsburgh","Soba","PA",3.95161290322581,15232,"Asian","45,928","3"
"233","Pittsburgh","Umi","PA",4.10714285714286,15232,"Asian","45,928","4"
"234","Pittsburgh","Harris Grill","PA",3.67420814479638,15232,"Other","45,928","2"
"235","Pittsburgh","The Elbow Room","PA",3.26582278481013,15232,"Other","45,928","2"
"236","Pittsburgh","William Penn Tavern","PA",3.5625,15232,"Other","45,928","1"
"237","Pittsburgh","Cappy's Cafe","PA",3.09090909090909,15232,"Other","45,928","1"
"238","Pittsburgh","Bruegger's Bagels","PA",3.25,15232,"Other","45,928","1"
"239","Pittsburgh","The Inn on Negley","PA",4.5,15232,"Other","45,928","2"
"240","Pittsburgh","Doc's Place","PA",3,15232,"European","45,928","2"
"241","Pittsburgh","Girasole Restaurant","PA",3.65895953757225,15232,"European","45,928","2"
"242","Pittsburgh","La Feria","PA",3.92727272727273,15232,"LAmerican","45,928","2"
"243","Pittsburgh","Village Pizza Bar & Grill","PA",4.16666666666667,15232,"European","45,928","1"
"244","Pittsburgh","P&G's Pamela's Diner","PA",3.99444444444444,15232,"Other","45,928","1"
"245","Pittsburgh","Crepes Parisiennes","PA",4.03076923076923,15232,"European","45,928","1"
"246","Pittsburgh","Historic Sunnyledge Hotel of Shadyside","PA",2.875,15232,"Other","45,928","2"
"247","Pittsburgh","Wendy's","PA",2.33333333333333,15232,"American","45,928","1"
"248","Pittsburgh","China Palace","PA",2.95161290322581,15232,"Asian","45,928","2"
"249","Pittsburgh","Walnut Grill","PA",2.86206896551724,15232,"Other","45,928","2"
"250","Pittsburgh","Castle Place","PA",4,15234,"Asian","56,447","1"
"251","Pittsburgh","The Pizza","PA",3.25,15234,"European","56,447","1"
"252","Castle Shannon","Nick's Pizza","PA",3.375,15234,"European","56,447","1"
"253","Pittsburgh","China Village","PA",4.6,15234,"Asian","56,447","2"
"254","Pittsburgh","Burger King","PA",4,15234,"American","56,447","1"
"255","Pittsburgh","Jb's Pizza Place","PA",2,15234,"European","56,447","1"
"256","Pittsburgh","Royal Place Restaurant","PA",2.25,15234,"European","56,447","4"
"257","Pittsburgh","Silver Palace Chinese Restaurant","PA",4,15234,"Asian","56,447","1"
"258","Pittsburgh","Calabria's","PA",2.8,15234,"European","56,447","2"
"259","Pittsburgh","Danny's Pizza","PA",4.42857142857143,15236,"European","55,607","1"
"260","Pittsburgh","Thee Olde Place Inn","PA",3.75,15236,"Other","55,607","2"
"261","Pittsburgh","Wendy's","PA",1.5,15238,"American","101,352",NA
"262","Pittsburgh","Uncle Sam's Submarines","PA",3.47826086956522,15238,"Other","101,352","2"
"263","Pittsburgh","Tai Pei","PA",3.07894736842105,15238,"Asian","101,352","2"
"264","Pittsburgh","Thai Place Restaurant","PA",3.23529411764706,15238,"Asian","101,352","2"
"265","Pittsburgh","Starlite Lounge","PA",3.11764705882353,15238,"Other","101,352","2"
"266","Pittsburgh","Applebee's","PA",4,15220,"American","51,164","2"
"267","Delmont","New Dragon Chinese Restaurant","PA",2.5,15243,"Asian","78,580","1"
"268","Belmont","Demetrios Restaurant","NC",3.4,28012,"European","56,422","1"
"269","Belmont","Cherubs Craft and Coffee Shop","NC",4.8,28012,"Other","56,422","1"
"270","Belmont","Wendy's","NC",2.42857142857143,28012,"American","56,422","1"
"271","Belmont","Pizza Hut","NC",2.42857142857143,28012,"European","56,422","2"
"272","Belmont","Bojangles Restaurant","NC",4.5,28012,"American","56,422","2"
"273","Belmont","White's Restaurant","NC",4.5,28012,"Other","56,422","1"
"274","Belmont","The Captain's Cap","NC",3.18181818181818,28012,"Other","56,422","2"
"275","Belmont","Catawba Fountain & Grill","NC",3.5,28012,"Other","56,422","1"
"276","Belmont","Sub Corral Sandwich Shop","NC",2.54545454545455,28012,"Other","56,422","1"
"277","Belmont","Papa John's Pizza","NC",3.5,28012,"European","56,422","1"
"278","Belmont","Taco Bell","NC",3.75,28012,"American","56,422","1"
"279","Belmont","McDonald's","NC",2.54545454545455,28012,"American","56,422","1"
"280","Belmont","New China","NC",3.57142857142857,28012,"Asian","56,422","1"
"281","Belmont","Belmont Food & Beverage","NC",3.16666666666667,28012,"Other","56,422","2"
"282","Huntersville","Tony's Pizza","NC",4.27118644067797,28078,"European","85,720","1"
"283","Matthews","New York Pizza Express","NC",3.84210526315789,28104,"European","94,577","2"
"284","Matthews","Burger King","NC",1.75,28104,"American","94,577","1"
"285","Matthews","McDonald's","NC",1,28104,"American","94,577",NA
"286","Matthews","Panda Chinese Restaurant","NC",2.28571428571429,28104,"Asian","94,577","1"
"287","Matthews","Papas Pizza To-Go","NC",4,28104,"European","94,577","2"
"288","Mount Holly","El Valle Mexican Restaurant","NC",3.18181818181818,28120,"LAmerican","49,788","2"
"289","Mount Holly","The Brightstar Grill","NC",4.12,28120,"Other","49,788","1"
"290","Mount Holly","McDonald's","NC",1.83333333333333,28120,"American","49,788","1"
"291","Mount Holly","Lowesville Cafe","NC",4,28120,"Other","49,788","1"
"292","Pineville","TLC Wings & Grill","NC",3.55,28134,"Other","51,856","1"
"293","Pineville","Sarku Japan","NC",3,28134,"Other","51,856","1"
"294","Pineville","Firehouse Subs","NC",4.16666666666667,28134,"American","51,856","1"
"295","Pineville","Waldhorn Restaurant","NC",4.29605263157895,28134,"European","51,856","2"
"296","Pineville","Red Lobster","NC",2.60714285714286,28134,"Other","51,856","2"
"297","Pineville","Jason's Deli","NC",4.02380952380952,28134,"Other","51,856","1"
"298","Pineville","Captain D's","NC",2.83333333333333,28134,"Other","51,856","1"
"299","Pineville","Buca di Beppo Italian Restaurant","NC",2.76712328767123,28134,"European","51,856","2"
"300","Pineville","Taco Bell","NC",3.375,28134,"American","51,856","1"
"301","Pineville","LongHorn Steakhouse","NC",3.34883720930233,28134,"Other","51,856","2"
"302","Pineville","Lone Star Steakhouse & Saloon","NC",2,28134,"Other","51,856",NA
"303","Charlotte","Bruegger's Bagels","NC",3.76923076923077,28226,"Other","82,899","1"
"304","Pineville","Applebee's","NC",2.54545454545455,28134,"Other","51,856","2"
"305","Pineville","Olive Garden Italian Restaurant","NC",2.81818181818182,28134,"European","51,856","2"
"306","Pineville","Tony Roma's","NC",3.30769230769231,28134,"Other","51,856","2"
"307","Charlotte","Domino's Pizza","NC",3.25,28210,"European","57,651","2"
"308","Pineville","Kopper Kettle Restaurant","NC",4.38888888888889,28134,"Other","51,856","1"
"309","Pineville","Corner Cafe & Catering","NC",4.33333333333333,28134,"Other","51,856","1"
"310","Pineville","Arby's","NC",2.66666666666667,28134,"American","51,856","1"
"311","Pineville","China Buffet","NC",2.82142857142857,28134,"Asian","51,856","2"
"312","Pineville","I Hop","NC",3.11627906976744,28134,"Other","51,856","1"
"313","Pineville","El Vallarta","NC",3.66666666666667,28134,"LAmerican","51,856","2"
"314","Pineville","China Express Chinese Restaurant","NC",3.54545454545455,28134,"Asian","51,856","1"
"315","Charlotte","Green's Lunch","NC",3.48648648648649,28202,"American","56,632","1"
"316","Charlotte","McNinch House Restaurant","NC",4.03225806451613,28202,"American","56,632","4"
"317","Charlotte","Alexander Michael's","NC",4.28934010152284,28202,"American","56,632","2"
"318","Charlotte","Showmars","NC",3.3125,28202,"European","56,632","1"
"319","Charlotte","Morton's The Steakhouse","NC",3.90769230769231,28202,"Other","56,632","4"
"320","Charlotte","Matt's Chicago Dog","NC",4.09259259259259,28202,"American","56,632","1"
"321","Charlotte","Fox and Hound Smokehouse & Tavern","NC",3.04878048780488,28202,"Other","56,632","2"
