"","name","city","prim","sec","tert","quart","state","stars"
"33","Ah-So Sushi & Steak","Peoria","Steakhouses"," Sushi Bars"," Japanese",NA,"AZ",2.70212765957447
"34","Aiello's Pizza","Pittsburgh","Italian"," Pizza",NA,NA,"PA",4.05555555555556
"35","AJ's Mongolian BBQ","Phoenix","Mongolian",NA,NA,NA,"AZ",3.08695652173913
"36","Ajo Al's","Scottsdale","Mexican",NA,NA,NA,"AZ",3.41304347826087
"37","Ajo Al's Mexican Cafe","Phoenix","Mexican",NA,NA,NA,"AZ",3.41921397379913
"38","Akropolis Cafe","Charlotte","Greek"," Cafes"," Mediterranean",NA,"NC",2.66666666666667
"39","Akropolis Cafe At Arboretum","Charlotte","Greek"," Mediterranean",NA,NA,"NC",2.95
"40","Al's Chicago Style Hot Dogs","Gilbert","Hot Dogs",NA,NA,NA,"AZ",4
"41","Aladdin's Eatery- Pittsburgh- Squirrel Hill","Pittsburgh","Vegetarian"," Mediterranean"," Vegan",NA,"PA",3.95762711864407
"42","Aladdin's Kitchen","Scottsdale","Middle Eastern",NA,NA,NA,"AZ",4.53846153846154
"43","Alessia's Ristorante Italiano","Mesa",""," Italian",NA,NA,"AZ",4.29012345679012
"44","Alexander's Italian Bistro","Pittsburgh",""," Italian",NA,NA,"PA",3.57352941176471
"45","Alexander's Steakhouse","Champaign","Steakhouses",NA,NA,NA,"IL",3.1219512195122
"46","Alexander Michael's","Charlotte","Cajun/Creole"," American (Traditional)"," Bars"," Pubs, Nightlife","NC",4.28934010152284
"47","Alexion's Bar & Grill","Carnegie","Bars"," American (Traditional)"," Nightlife",NA,"PA",3.94117647058824
"48","Alfred's Deli & Market","Pittsburgh","Polish"," Delis"," Gluten-Free",NA,"PA",4.7
"49","Alfredo's Deli","Phoenix","",NA,NA,NA,"AZ",3.8
"50","Ali Baba Restaurant","Pittsburgh","Middle Eastern",NA,NA,NA,"PA",3.45833333333333
"51","Alice Cooper'stown","Phoenix","Bars"," Music Venues"," Arts & Entertainment"," Nightlife, Sports Bars, Barbeque","AZ",3.42857142857143
"52","All Starz Sports Bar & Grill","Chandler","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","AZ",2.5
"53","Alla Famiglia","Pittsburgh",""," Italian",NA,NA,"PA",4.4375
"54","Allegheny Sandwich Shoppe","Pittsburgh","Breakfast & Brunch"," Sandwiches",NA,NA,"PA",3.9375
"55","Aloha Kitchen","Mesa","Hawaiian",NA,NA,NA,"AZ",4.32124352331606
"56","Aloha Kitchen & Bar","Las Vegas","Nightlife"," Bars"," Karaoke"," Hawaiian","NV",3.54710144927536
"57","Alzohour Market","Phoenix","Middle Eastern"," Moroccan",NA,NA,"AZ",4.52631578947368
"58","Amelios Pizza & More","Phoenix","Pizza",NA,NA,NA,"AZ",2.56666666666667
"59","Amels","Pittsburgh","Middle Eastern"," Mediterranean",NA,NA,"PA",4.13157894736842
"60","Amlee Chinese Cuisine","Las Vegas","Chinese",NA,NA,NA,"NV",3.66101694915254
"61","Ammaccapane's Restaurant & Sports Bar","Phoenix","Nightlife"," Bars"," American (New)"," Sports Bars","AZ",4
"62","Amore Pizza & Wings","Scottsdale","Event Planning & Services"," Pizza"," Caterers"," Chicken Wings","AZ",3.66666666666667
"63","Amy's Cafe","Madison","Bars"," American (Traditional)"," Nightlife"," Lounges","WI",3.81578947368421
"64","Andy's Sushi Bar","Pittsburgh","Sushi Bars",NA,NA,NA,"PA",4.05263157894737
"65","Angelic Brewing Co","Madison","Food"," American (Traditional)"," Breweries",NA,"WI",3.44444444444444
"66","Angelo's Pizzeria","Pittsburgh","Pizza",NA,NA,NA,"PA",3.725
"67","Angie & Jimmie's Italian Pizza","Phoenix","Italian"," Pizza"," Salad",NA,"AZ",4.17567567567568
"68","Angkor Restaurant","Pittsburgh","Thai"," Cambodian",NA,NA,"PA",4.1063829787234
"69","Anita's Cocina","Wickenburg","Breakfast & Brunch"," Mexican",NA,NA,"AZ",3.38636363636364
"70","Anna's Pizzeria","Sun Prairie","Pizza",NA,NA,NA,"WI",4.375
"71","Annabelle's Dining & Lounge","Mesa","Bars"," American (New)"," Nightlife"," Lounges","AZ",2.125
"72","Annie's Kitchen","Las Vegas","Barbeque",NA,NA,NA,"NV",4.2
"73","Anthony's Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",3.71428571428571
"74","Antoon's Pizza","Pittsburgh","Italian"," Pizza",NA,NA,"PA",3.5
"75","Anzio Landing Italian Restaurant","Mesa",""," Italian",NA,NA,"AZ",3.04545454545455
"76","Anzios Italian Restaurant","Phoenix",""," Pizza"," Italian",NA,"AZ",4.02083333333333
"77","Apollo Cafe","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",3.64705882352941
"78","Applebee's","McKees Rocks","Bars"," American (Traditional)"," Burgers"," Nightlife, Sports Bars","PA",2.62756264236902
"79","Applebee's Neighborhood Grill & Bar","Phoenix","American (Traditional)",NA,NA,NA,"AZ",2.42105263157895
"80","Aquavina","Charlotte","American (New)",NA,NA,NA,"NC",2.61111111111111
"81","Aracri's Greentree Inn","Pittsburgh","American (New)",NA,NA,NA,"PA",3.75
"82","Arby's","Pittsburgh","",NA,NA,NA,"PA",2.94979079497908
"83","Arby's Roast Beef","Tempe","Fast Food",NA,NA,NA,"AZ",3.05882352941176
"84","Arby's Roast Beef Sandwich Restaurants","North Las Vegas","American (New)",NA,NA,NA,"NV",2.1
"85","Arbys Restaurant Higley Rd","Mesa","Fast Food",NA,NA,NA,"AZ",4.5
"86","Arcadia Farms Cafe","Scottsdale","Breakfast & Brunch"," American (New)"," Cafes",NA,"AZ",3.93710691823899
"87","Arena Sports Grill","Scottsdale","Bars"," American (Traditional)"," Burgers"," Nightlife, Sports Bars","AZ",3.48275862068966
"88","Arizona Baseball Club Restaurant","Phoenix","American (New)",NA,NA,NA,"AZ",3.5
"89","Arizona BBQ Restaurant","Peoria","Barbeque",NA,NA,NA,"AZ",2.5
"90","Arizona Bread Company","Scottsdale","Bakeries"," Food"," Sandwiches"," Soup","AZ",3.90697674418605
"91","Arizona Opry","Apache Junction","American (Traditional)",NA,NA,NA,"AZ",4.15384615384615
"92","Armadillo Grill","Phoenix","Nightlife"," Bars"," American (Traditional)"," Sports Bars","AZ",3.92553191489362
"93","Armand's Bar","Pittsburgh","Nightlife"," Bars"," Sandwiches",NA,"PA",3.33333333333333
"94","Armando's Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",3.2
"95","Armstrong's","Pittsburgh","American (Traditional)"," Steakhouses"," Diners",NA,"PA",3.88461538461538
"96","Arriba Mexican Grill","Phoenix","Mexican",NA,NA,NA,"AZ",3.02403846153846
"97","Arrivederci","Phoenix",""," Italian",NA,NA,"AZ",3.56944444444444
"98","Art's Barbecue & Deli","Charlotte","Barbeque",NA,NA,NA,"NC",3.25
"99","Arthur's At Belk","Charlotte","Burgers"," Sandwiches",NA,NA,"NC",4.34615384615385
"100","Arthurs's At Wachovia","Charlotte","",NA,NA,NA,"NC",3.75
"101","Asadero Norte De Sonora","Phoenix","Mexican",NA,NA,NA,"AZ",4.32692307692308
"102","Asadero Toro","Phoenix","Mexican",NA,NA,NA,"AZ",4.37037037037037
"103","Asia Express","Madison","Chinese",NA,NA,NA,"WI",3.4
"104","Asian Grill","Sun Lakes","Chinese",NA,NA,NA,"AZ",3.95744680851064
"105","Aspinwall Grille","Pittsburgh","American (New)",NA,NA,NA,"PA",3.85714285714286
"106","ASU Karsten Golf Course","Tempe","Active Life"," American (New)"," Golf",NA,"AZ",4.03448275862069
"107","Athen's Gyros & Pasta","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",3.70833333333333
"108","Athenian Express","Phoenix","Greek"," Mediterranean"," Sandwiches",NA,"AZ",3.55384615384615
"109","Atlanta Bread Company","Madison","",NA,NA,NA,"WI",2
"110","Atlas Bistro  BYOB","Scottsdale","American (New)",NA,NA,NA,"AZ",4.38613861386139
"111","Atria's Restaurant","Pittsburgh","American (New)"," Sandwiches",NA,NA,"PA",2.84615384615385
"112","Au Bon Pain Co","Pittsburgh","Bakeries"," Food"," Cafes",NA,"PA",2.4
"113","Au Petit Four","Scottsdale","Bakeries"," Food"," Sandwiches"," French","AZ",3.51764705882353
"114","Aunt Chilada's","Phoenix","Mexican"," Event Planning & Services"," Venues & Event Spaces",NA,"AZ",3.390625
"115","Auntie Anne's","Chandler","Bakeries"," Food"," Fast Food",NA,"AZ",4.25
"116","Aurelio's the Family Pizzeria","Henderson","Pizza",NA,NA,NA,"NV",3.11363636363636
"117","Auslers Grill","Phoenix","",NA,NA,NA,"AZ",5
"118","Austin's Caribbean Cuisine","Charlotte","Caribbean",NA,NA,NA,"NC",3.85
"119","Autumn Moon Chinese Buffet","Mesa","Chinese",NA,NA,NA,"AZ",2.89473684210526
"120","Avanti","Phoenix","Bars"," "," Nightlife"," Lounges, Italian","AZ",3.90265486725664
"121","Avanti Italian Restaurant","Verona","Nightlife"," Bars"," "," Pizza, Italian","WI",3.06666666666667
"122","Avenue Bar","Madison","Bars"," Fish & Chips"," Nightlife",NA,"WI",3.41111111111111
"123","Avi's Screamers Drive In","Wickenburg","Burgers",NA,NA,NA,"AZ",4.25714285714286
"124","AZTECA Bakeries & Restaurant","Phoenix","Bakeries"," Food"," Breakfast & Brunch"," Mexican","AZ",4.04
"125","Azteca Mexican Restaurant","Matthews","Mexican",NA,NA,NA,"NC",3.81395348837209
"126","Baba's Tsi-bugan Restaurant","Las Vegas","Food"," Food Delivery Services"," American (New)"," Filipino","NV",4.07317073170732
"127","Babbo Italian Eatery","Glendale",""," Italian",NA,NA,"AZ",3.67441860465116
"128","Babes Grill & Bar","Madison","Gastropubs",NA,NA,NA,"WI",3.56896551724138
"129","Baby Kay's Cajun Kitchen","Phoenix","Cajun/Creole",NA,NA,NA,"AZ",3.77099236641221
"130","Bacaro","Champaign","Bars"," "," Nightlife"," Lounges, American (New), Italian","IL",3.93577981651376
"131","Bacchanal Ristorante","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",3.93939393939394
"132","Back East Bagels","Tempe","Food"," Sandwiches"," Bagels"," Breakfast & Brunch","AZ",3.61764705882353
"133","Badger Bowl","Madison","American (Traditional)"," Venues & Event Spaces"," Event Planning & Services"," Bowling, Active Life","WI",3.21428571428571
"134","Badgerland Bar & Grill","Madison","Bars"," American (Traditional)"," Nightlife",NA,"WI",3.23529411764706
"135","Bado's Pizza Grill And Ale House","Pittsburgh","Bars"," Pizza"," Nightlife",NA,"PA",3.61904761904762
"136","Bagel Gourmet","Phoenix","Food"," Sandwiches"," Bagels"," Breakfast & Brunch","AZ",4.18604651162791
"137","Bagel Nosh","Mesa","Food"," Sandwiches"," Bagels"," Breakfast & Brunch","AZ",3.68627450980392
"138","Bahama Breeze","Chandler","Cajun/Creole"," American (New)",NA,NA,"AZ",3.33333333333333
"139","Bahia De Guaymas","Phoenix","Mexican",NA,NA,NA,"AZ",4.33333333333333
"140","Bahn Thai Restaurant","Madison","Thai",NA,NA,NA,"WI",3.72727272727273
"141","Bailey's Sports Grille","Charlotte","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","NC",3
"142","Baja Fresh","Chandler","American (New)",NA,NA,NA,"AZ",2.92857142857143
"143","Baja Fresh Las Vegas","Las Vegas","Mexican",NA,NA,NA,"NV",3.41666666666667
"144","Baja Fresh Mexican Grill","Phoenix","Mexican",NA,NA,NA,"AZ",3.18
"145","Baja Fresh Mexican Grill Mexican Grill","Phoenix","Mexican",NA,NA,NA,"AZ",1.83333333333333
"146","Bamboo Cafe","Glendale","Chinese",NA,NA,NA,"AZ",3.79166666666667
"147","Bamboo China Restaurant","Phoenix","Chinese",NA,NA,NA,"AZ",3.16666666666667
"148","Bamboo Grille","Phoenix","Japanese"," Chinese",NA,NA,"AZ",3.03030303030303
"149","Bamboo House","Phoenix","Chinese",NA,NA,NA,"AZ",3.4047619047619
"150","Bandera","Scottsdale","American (Traditional)"," American (New)",NA,NA,"AZ",4.09302325581395
"151","Bandung Indonesian Restaurant","Madison","Indonesian"," Asian Fusion",NA,NA,"WI",3.98529411764706
"152","Bangkok 9 Thai-Chinese Food","Henderson","Thai"," Chinese",NA,NA,"NV",3.53164556962025
"153","Bangkok Balcony","Pittsburgh","Thai",NA,NA,NA,"PA",3.62992125984252
"154","Bangkok Ocha","Charlotte","Thai",NA,NA,NA,"NC",3.75609756097561
"155","Bangkok Orchid","Henderson","Thai"," Chinese",NA,NA,"NV",3.8
"156","Bankers Raw Bar","Charlotte","Seafood"," Bars"," Nightlife",NA,"NC",2.4
"157","Baoding","Charlotte","Chinese",NA,NA,NA,"NC",3.74418604651163
"158","Bar-B-Q King","Charlotte","Barbeque",NA,NA,NA,"NC",3.54022988505747
"159","Bar 7","Wickenburg","Nightlife",NA,NA,NA,"AZ",3
"160","Bar Louie","West Homestead","Bars"," American (New)"," Nightlife",NA,"PA",2.49645390070922
"161","Barb's Country Junction Cafe","Carnegie","Cafes",NA,NA,NA,"PA",4
"162","Barb's Country Kitchen","Pittsburgh","Breakfast & Brunch"," Diners",NA,NA,"PA",3.81132075471698
"163","Barbeques Galore","Chandler","Barbeque",NA,NA,NA,"AZ",2.875
"164","Barrington's","Charlotte","American (New)",NA,NA,NA,"NC",4.17808219178082
"165","Barriques","Madison","Food"," Beer"," Wine & Spirits"," Coffee & Tea, Cafes","WI",4.23913043478261
"166","Barriques Market","Fitchburg","Food"," Beer"," Wine & Spirits"," Coffee & Tea, Cafes","WI",4.07692307692308
"167","Barro's Pizza","Mesa","Pizza",NA,NA,NA,"AZ",3.85714285714286
"168","Basie's","Madison","Bars"," American (New)"," Nightlife",NA,"WI",3.77777777777778
"169","Basil's Restaurant","Charlotte","American (New)",NA,NA,NA,"NC",2.83333333333333
"170","Basil Thai Cafe","Champaign","Thai",NA,NA,NA,"IL",2.91666666666667
"171","Basmati Indian Cuisine","Champaign","Pakistani"," Vegetarian"," Indian",NA,"IL",3
"172","Bavarian Point Restaurant","Mesa","German",NA,NA,NA,"AZ",3.37313432835821
"173","Beach House Restaurant & Lounge","Mc Farland","Bars"," American (Traditional)"," Nightlife"," Lounges","WI",3.38461538461538
"174","Beach Pizza","Las Vegas","Italian"," Pizza",NA,NA,"NV",3.20512820512821
"175","Beano's Casino","Las Vegas","Casinos"," Arts & Entertainment"," American (Traditional)"," Chicken Wings","NV",3.76190476190476
"176","Beauregards","Charlotte","Italian"," American (New)",NA,NA,"NC",2.61538461538462
"177","Bedder Bedder & Moore","Charlotte","Delis",NA,NA,NA,"NC",3.5
"178","Bedillon's Cactus Garden & Museum","Casa Grande","American (Traditional)",NA,NA,NA,"AZ",4.42424242424242
"179","Beef 'N Bottle","Charlotte","Seafood"," Steakhouses",NA,NA,"NC",3.76056338028169
"180","Beehive Coffee","Pittsburgh","Food"," Vegetarian"," Coffee & Tea"," Breakfast & Brunch","PA",3.81111111111111
"181","Beijing Beijing","Phoenix","Chinese",NA,NA,NA,"AZ",2.33333333333333
"182","Bell' Italia Pizzeria","Phoenix","Italian"," Pizza"," Salad",NA,"AZ",4.28205128205128
"183","Bella Luna Ristorante","Goodyear",""," Italian",NA,NA,"AZ",3.45348837209302
"184","Bellacino's Pizza and Grinders","Charlotte","Pizza"," Sandwiches",NA,NA,"NC",3
"185","Bellini Italian Restaurant","Madison",""," Italian",NA,NA,"WI",3.34782608695652
"186","Bellisario's Pizza Palace","Pittsburgh","Italian"," Pizza",NA,NA,"PA",3.71428571428571
"187","Bellisario Pizza Shop","West Mifflin","Pizza",NA,NA,NA,"PA",3
"188","Belmont Food & Beverage","Belmont",""," American (New)"," Event Planning & Services"," Caterers","NC",3.16666666666667
"189","Benihana","Pittsburgh","Sushi Bars"," Japanese",NA,NA,"PA",3.10179640718563
"190","Benkovitz Seafoods","Pittsburgh","Seafood"," Sandwiches",NA,NA,"PA",4.35294117647059
"191","Bennett's Meadowood Country Club","Madison","Bars"," Country Clubs"," Arts & Entertainment"," Dive Bars, Burgers, Nightlife","WI",3.78947368421053
"192","Benvenuto's Italian Grill","Madison",""," Italian",NA,NA,"WI",3.07352941176471
"193","Bernard's Fine Dining","Chandler","American (Traditional)",NA,NA,NA,"AZ",3.33333333333333
"194","Best Burger","Las Vegas","Burgers",NA,NA,NA,"NV",3.33333333333333
"195","Best Hong Kong Dining","Mesa","Chinese",NA,NA,NA,"AZ",3.63291139240506
"196","Best of Europe Meats & Deli","Phoenix","Polish"," Delis"," Sandwiches",NA,"AZ",4.62264150943396
"197","Best of Philly","Phoenix","Cheesesteaks"," Sandwiches",NA,NA,"AZ",3.8
"198","Best Wok","Charlotte","Chinese",NA,NA,NA,"NC",4.15
"199","Best Wok II","Matthews","Chinese",NA,NA,NA,"NC",3.41666666666667
"200","Beto's Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",3.80357142857143
"201","Better Than Sex Cake Cafe","Chandler","",NA,NA,NA,"AZ",3.15384615384615
"202","Biaggi's Ristorante Italiano","Madison",""," Italian",NA,NA,"WI",3.33783783783784
"203","Big Al's Pub & Grubberia","Charlotte","Pubs"," Bars"," American (Traditional)"," Nightlife","NC",3
"204","Big Apple Deli & Restaurant","Charlotte","",NA,NA,NA,"NC",3.77777777777778
"205","Big Bowl Restaurant","Mesa","Fast Food"," Chinese",NA,NA,"AZ",3.76923076923077
"206","Big Burrito Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",5
"207","Big City Bagels & Deli","Scottsdale","Food"," Bagels"," Breakfast & Brunch"," Delis","AZ",4.18367346938776
"208","Big Daddy's Sports Lounge","Phoenix","Nightlife"," Bars"," Pizza"," Sports Bars","AZ",4.03703703703704
"209","Big Dog's Bar and Grill","Las Vegas","Bars"," American (Traditional)"," Food"," Beer, Wine & Spirits, Breweries, Nightlife, Sports Bars","NV",4.2
"210","Big Dog's Draft House","Las Vegas","Food"," American (Traditional)"," Breweries",NA,"NV",3.80575539568345
"211","Big Jim's Restaurant & Bar","Pittsburgh","Italian"," American (Traditional)",NA,NA,"PA",3.92792792792793
"212","Big Wa Chinese Restaurant","Casa Grande","Chinese",NA,NA,NA,"AZ",3.78378378378378
"213","Big Wong Restaurant","Phoenix","",NA,NA,NA,"AZ",4.28571428571429
"214","Bill Johnson's Big Apple Restaurants","Goodyear","American (Traditional)",NA,NA,NA,"AZ",2.83687943262411
"215","Bill Johnsons Big Apple","Phoenix","American (Traditional)",NA,NA,NA,"AZ",2.8
"216","Bill Spoon's Barbecue","Charlotte","Barbeque",NA,NA,NA,"NC",3.89010989010989
"217","Billy's Troy Hill Bistro","Pittsburgh","Cafes",NA,NA,NA,"PA",2.83333333333333
"218","Billy Bob's Steakhouse","Las Vegas","Steakhouses",NA,NA,NA,"NV",3.11111111111111
"219","Birrieria Jalisco","Las Vegas","Mexican",NA,NA,NA,"NV",3
"220","Bishop's Pizza","Pittsburgh","Food"," Ice Cream & Frozen Yogurt"," Pizza",NA,"PA",3
"221","Bistro 24","Phoenix","American (New)",NA,NA,NA,"AZ",4.14285714285714
"222","Bistro Provence","Scottsdale","American (New)"," French",NA,NA,"AZ",3.85
"223","Bitter Creek Cafe","Phoenix","Food"," Coffee & Tea"," American (New)"," Sandwiches","AZ",3.92307692307692
"224","BJ's Restaurant & Brewhouse","Chandler","Food"," Breweries"," American (New)"," Pizza","AZ",3.68995633187773
"225","Black Angus Steakhouse","Mesa","Bars"," American (Traditional)"," Nightlife"," Steakhouses, Sports Bars","AZ",3.2258064516129
"226","Black Bear Inn","Cottage Grove","",NA,NA,NA,"WI",2.9
"227","Black Mountain Grill","Henderson","American (Traditional)"," American (New)",NA,NA,"NV",3.43243243243243
"228","Blimpie","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.90163934426229
"229","Blimpie Subs & Salads","Tempe","Delis"," Sandwiches",NA,NA,"AZ",5
"230","Blinky's Noble Grill & Bar","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",2.77777777777778
"231","Blue Adobe Grille","Scottsdale","Nightlife"," Seafood"," Mexican"," Bars","AZ",4.10552763819095
"232","Blue Burrito Grille","Scottsdale","Mexican",NA,NA,NA,"AZ",3.69811320754717
"233","Blue Moon Bar & Grill","Madison","Burgers",NA,NA,NA,"WI",3.89795918367347
"234","Blue Nile Cafe","Tempe","Ethiopian"," Vegan",NA,NA,"AZ",4.05555555555556
"235","Blue Ox Tavern","Las Vegas","Bars"," American (Traditional)"," Nightlife"," Lounges","NV",4.14285714285714
"236","Blue Restaurant & Bar","Charlotte","Wine Bars"," Bars"," Mediterranean"," Nightlife","NC",3.58571428571429
"237","Blue Saguaro Cafe","Phoenix","Food"," Sandwiches"," Coffee & Tea"," Breakfast & Brunch","AZ",3.61538461538462
"238","Blueberry Hill Family Restaurant","Las Vegas","Breakfast & Brunch"," Diners",NA,NA,"NV",3.66538461538462
"239","Blueberry Hill Restaurant and Lounge","Henderson","American (Traditional)",NA,NA,NA,"NV",3.16455696202532
"240","Bluephies","Madison","American (Traditional)"," Salad",NA,NA,"WI",3.49753694581281
"241","Bob's East Side Deli","Las Vegas","Delis"," Sandwiches",NA,NA,"NV",4.07407407407407
"242","Bob Evans","Champaign","Breakfast & Brunch"," American (Traditional)",NA,NA,"IL",2.87096774193548
"243","Bob Taylor's Ranch House","Las Vegas","American (Traditional)"," Steakhouses",NA,NA,"NV",3.54922279792746
"244","Bobby's Lounge","Pittsburgh","Bars"," American (Traditional)"," Nightlife"," Lounges","PA",3
"245","Bobby C's Bar & Lounge","Phoenix","Jazz & Blues"," Arts & Entertainment"," Soul Food"," Nightlife","AZ",3.59090909090909
"246","Bobby D's Restaurant & Lounge","Phoenix","Nightlife"," Bars"," Diners"," Lounges","AZ",4.125
"247","Bodrick's Bar-B-Q Rib Tips","Charlotte","Barbeque",NA,NA,NA,"NC",3.33333333333333
"248","Bojangles","Charlotte","Southern",NA,NA,NA,"NC",3.14285714285714
"249","Bojangles'","Charlotte","Fast Food",NA,NA,NA,"NC",3
"250","Bojangles' Famous Chicken 'n Biscuits","Charlotte","Fast Food"," Chicken Wings",NA,NA,"NC",2.5
"251","Bojangles'famous Chicken'n Biscuits","Charlotte","",NA,NA,NA,"NC",2.20833333333333
"252","Bojangles Famous Chicken N'biscuits","Matthews","",NA,NA,NA,"NC",3.55555555555556
"253","Bojangles Famous Chicken N Biscuits'","Charlotte","Fast Food",NA,NA,NA,"NC",3.89473684210526
"254","Bojangles Restaurant","Belmont","Fast Food",NA,NA,NA,"NC",3.07407407407407
"255","Bola Thai","Gilbert","Thai",NA,NA,NA,"AZ",3
"256","Bombay Cuisine","Charlotte","Pakistani"," Indian"," Buffets",NA,"NC",3.625
"257","Bombay Grille","Charlotte","Indian",NA,NA,NA,"NC",3.74285714285714
"258","Bombay Indian Grill","Champaign","Indian",NA,NA,NA,"IL",3.53968253968254
"259","Bon Appetit Cafe","Madison","American (New)"," Cafes",NA,NA,"WI",3.3125
"260","Bonefish Grill","Matthews","Seafood",NA,NA,NA,"NC",3.87272727272727
"261","Bonterra Restaurant & Wine Room","Charlotte","Bars"," Seafood"," Wine Bars"," Nightlife, American (New)","NC",3.25581395348837
"262","Boomer's Bar","Las Vegas","Bars"," American (Traditional)"," Music Venues"," Arts & Entertainment, Dive Bars, Nightlife","NV",3.55555555555556
"263","Boomerang's Bar & Grill","Urbana","Bars"," American (Traditional)"," Nightlife",NA,"IL",3.75
"264","Border Line Cocina Mexicana","Casa Grande","Caterers"," Mexican"," Event Planning & Services",NA,"AZ",2.75
"265","Bossa Nova","Pittsburgh","Tapas Bars"," Bars"," Nightlife",NA,"PA",2.73076923076923
"266","Boston's Bar & Grille","Tempe","Nightlife"," Bars"," American (Traditional)"," Sports Bars","AZ",2.68421052631579
"267","Boston Market","Pittsburgh","Event Planning & Services"," American (Traditional)"," Caterers"," Comfort Food","PA",3.38164251207729
"268","Boston Pizza","Las Vegas","Pizza",NA,NA,NA,"NV",3.38655462184874
"269","Boudreaux's Louisiana Kitchen","Charlotte","Cajun/Creole"," Breakfast & Brunch",NA,NA,"NC",3.76129032258065
"270","Boulders Resort & Club","Scottsdale","Hotels & Travel"," "," Event Planning & Services"," Hotels","AZ",4.11111111111111
"271","Brad's Fish & Chips","Phoenix","Seafood",NA,NA,NA,"AZ",3.11764705882353
"272","Brando's Grill & Bar","Henderson","Bars"," American (New)"," Nightlife",NA,"NV",3.875
"273","Bravo Bistro","Scottsdale",""," Italian",NA,NA,"AZ",3.62222222222222
"274","Breadcrafters Bakery & Cafe","Phoenix","Bakeries"," Food"," Sandwiches",NA,"AZ",3.71028037383178
