"","name","city","attributes","stars"," Accepts Credit Cards"," Ambience: romantic"," Attire"," background_music"," breakfast"," brunch"," BYOB"," casual"," Caters"," classy"," Coat Check"," Delivery"," dinner"," divey"," Good For Dancing"," Good For Groups"," Good for Kids"," Good For: dessert"," Happy Hour"," Has TV"," hipster"," intimate"," jukebox"," karaoke"," latenight"," live"," lot"," lunch"," Music: dj"," Noise Level"," Outdoor Seating"," Parking: garage"," Price Range"," Smoking"," street"," Take-out"," Takes Reservations"," touristy"," trendy"," upscale"," valet"," validated"," video"," Waiter Service"," Wheelchair Accessible"," Wi-Fi"
"11","4th Floor Grille & Sports Bar","Scottsdale","Alcohol: full_bar, Noise Level: quiet, Music: dj: False, Attire: casual, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Good for Kids: True, Price Range: 2, Good For Dancing: False, Delivery: False, Coat Check: False, Smoking: no, Accepts Credit Cards: True, Take-out: True, Happy Hour: True, Wheelchair Accessible: True, Outdoor Seating: False, Takes Reservations: True, Waiter Service: True, Wi-Fi: free, Caters: True, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Has TV: True, Good For Groups: True",3.81578947368421,"True","False","casual",NA,"False","False",NA,"True","True","False","False","False","False","False","False","True","True","False","True","True","False","False",NA,NA,"False",NA,"True","True","False","quiet","False","False","2","no","False","True","True","False","False","False","False","False",NA,"True","True","free"
"12","5 & Diner","Phoenix","Take-out: True, Accepts Credit Cards: True, Price Range: 2, Outdoor Seating: True, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Attire: casual, Good For Groups: True, Delivery: False, Order at Counter: True, Has TV: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: True, Takes Reservations: False, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",3.24594594594595,"True","False","casual",NA,"True","False",NA,"True","False","False",NA,"False","False","False",NA,"True","True","False",NA,"False","False","False",NA,NA,"False",NA,"True","False",NA,"average","True","False","2",NA,"False",NA,"False","False","False","False","False","False",NA,"True","True","no"
"13","5 & Diner Deer Valley","Phoenix","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: True, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: False, Delivery: False, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: True, brunch: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Wi-Fi: free, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",3.9,"True","False","casual",NA,"True","False",NA,"False","False","False",NA,"False","False","False",NA,"False","True","False",NA,"False","False","False",NA,NA,"False",NA,"True","False",NA,"average","True","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"True","True","free"
"14","56th St Deli & Market","Phoenix","Take-out: True, Price Range: 1, Outdoor Seating: True, Takes Reservations: False, Delivery: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False, Parking: garage: False, street: False, validated: False, lot: False, valet: False, Attire: casual, Accepts Credit Cards: True, Good for Kids: True, Good For Groups: False, Wheelchair Accessible: True",4.33333333333333,"True","False","casual",NA,"False","False",NA,"False",NA,"False",NA,"False","False","False",NA,"False","True","False",NA,"True","False","False",NA,NA,"False",NA,"False","False",NA,NA,"True","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,NA,"True",NA
"15","5th Quarter Sports Bar & Grill","Verona","Alcohol: full_bar, Noise Level: average, Has TV: True, Attire: casual, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True, Good for Kids: True, Price Range: 2, Good For Dancing: False, Delivery: False, Coat Check: False, Accepts Credit Cards: True, Take-out: True, Happy Hour: True, Wheelchair Accessible: True, Outdoor Seating: True, Takes Reservations: False, Waiter Service: True, Wi-Fi: free, Caters: False, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True",3.58823529411765,"True","False","casual",NA,"False","False",NA,"True","False","False","False","False","False","False","False","True","True","False","True","True","False","False",NA,NA,"False",NA,"True","True",NA,"average","True","False","2",NA,"False","True","False","False","False","False","False","False",NA,"True","True","free"
"16","61C Cafe","Pittsburgh","Take-out: True, Accepts Credit Cards: False, Price Range: 1, Outdoor Seating: True, Noise Level: average, Parking: garage: False, street: True, validated: False, lot: False, valet: False, Good For Groups: False, Delivery: False, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False, Waiter Service: False, Wi-Fi: free, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",3.41666666666667,"False","False","casual",NA,"False","False",NA,"False",NA,"False",NA,"False","False","False",NA,"False","True","False",NA,"False","False","False",NA,NA,"False",NA,"False","False",NA,"average","True","False","1",NA,"True",NA,"False","False","False","False","False","False",NA,"False","True","free"
"17","A-Ri-Rang","Champaign","Delivery: False, Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: False, Caters: False, Noise Level: average, Parking: garage: False, street: True, validated: False, lot: False, valet: False, Alcohol: none, Good For Groups: True, BYOB: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: True, touristy: False, trendy: False, upscale: False, casual: True, Waiter Service: False, Wi-Fi: no, Good for Kids: True, BYOB/Corkage: no, Wheelchair Accessible: True",3.5,"True","False","casual",NA,"False","False","False","True","False","False",NA,NA,"False","True",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"False","True",NA,"average","False","False","1",NA,"True","True","False","False","False","False","False","False",NA,"False","True","no"
"18","A & J Chicago Style Bar-B-Q","Phoenix","Take-out: True, Price Range: 2, Outdoor Seating: False, Takes Reservations: False, Alcohol: beer_and_wine, Good For Groups: True, Delivery: False, Good For: dessert: False, latenight: False, lunch: True, dinner: True, breakfast: False, brunch: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Attire: casual, Waiter Service: False, Accepts Credit Cards: True, Good for Kids: True, BYOB/Corkage: no, Wheelchair Accessible: True",3.44444444444444,"True",NA,"casual",NA,"False","False",NA,NA,NA,NA,NA,"False","True",NA,NA,"True","True","False",NA,NA,NA,NA,NA,NA,"False",NA,"True","True",NA,NA,"False","False","2",NA,"False",NA,"False",NA,NA,NA,"False","False",NA,"False","True",NA
"19","A A Wok","Phoenix","Take-out: True, Delivery: True, Outdoor Seating: False, Attire: casual, Accepts Credit Cards: True, Price Range: 1",3,"True",NA,"casual",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","A&W Restaurant","Windsor","Take-out: True, Drive-Thr: True, Outdoor Seating: False, Caters: False, Noise Level: quiet, Attire: casual, Good For Groups: True, Delivery: False, Has TV: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False, Price Range: 1, Accepts Credit Cards: True, Good for Kids: True, Alcohol: none, Wheelchair Accessible: False",3.75,"True","False","casual",NA,"False","False",NA,"False","False","False",NA,"False","False","False",NA,"True","True","False",NA,"False","False","False",NA,NA,"False",NA,NA,"False",NA,"quiet","False",NA,"1",NA,NA,NA,"False","False","False","False",NA,NA,NA,NA,"False",NA
"21","Abacus Inn","Phoenix","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: False, Caters: False, Noise Level: quiet, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: True, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: True, brunch: False, breakfast: False, Takes Reservations: True, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",3.91549295774648,"True","False","casual",NA,"False","False",NA,"True","False","False",NA,"True","True","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","False",NA,"quiet","False","False","1",NA,"False",NA,"True","False","False","False","False","False",NA,"True","True","no"
"22","Abacus Inn Chinese Restaurant","Phoenix","Take-out: True, Price Range: 2, Outdoor Seating: False, Takes Reservations: True, Good For Groups: True, Delivery: True, Good For: dessert: False, latenight: False, lunch: True, dinner: True, breakfast: False, brunch: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Attire: casual, Waiter Service: True, Accepts Credit Cards: True, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",3.23076923076923,"True",NA,"casual",NA,"False","False",NA,NA,NA,NA,NA,"True","True",NA,NA,"True","True","False",NA,NA,NA,NA,NA,NA,"False",NA,"True","True",NA,NA,"False","False","2",NA,"False",NA,"True",NA,NA,NA,"False","False",NA,"True","True",NA
"23","Abacus Inn Chinese Restaurant-Arrowhead","Glendale","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: True, Caters: True, Noise Level: quiet, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: False, Delivery: True, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: beer_and_wine, Wheelchair Accessible: True",3.44086021505376,"True","False","casual",NA,"False","False",NA,"True","True","False",NA,"True","False","False",NA,"False","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","True",NA,"quiet","True","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"True","True","no"
"24","Abbey Gardens","Mesa","Take-out: False, Alcohol: none, Takes Reservations: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: False, brunch: False, Attire: casual, Accepts Credit Cards: True, Good For Groups: True",3,"True",NA,"casual",NA,"False","False",NA,NA,NA,NA,NA,NA,"False",NA,NA,"True",NA,"False",NA,NA,NA,NA,NA,NA,"False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Abruzzi's","Pittsburgh","Take-out: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: False, brunch: False, Attire: casual, Waiter Service: True, Accepts Credit Cards: True, Good for Kids: True, Good For Groups: True, Price Range: 2",4.33333333333333,"True",NA,"casual",NA,"False","False",NA,NA,NA,NA,NA,NA,"False",NA,NA,"True","True","False",NA,NA,NA,NA,NA,NA,"False",NA,NA,"False",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA
"26","Abuelo's","Chandler","Take-out: True, Accepts Credit Cards: True, Price Range: 2, Outdoor Seating: True, Caters: True, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: False",3.63658536585366,"True","False","casual",NA,"False","False",NA,"True","True","False",NA,"False","False","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","True",NA,"average","True","False","2",NA,"False",NA,"False","False","False","False","False","False",NA,"True","False","no"
"27","Adams 7th Street Market","Charlotte","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: False, Caters: True, Noise Level: quiet, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: True, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True, Waiter Service: False, Wi-Fi: free, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",4.14285714285714,"True","False","casual",NA,"True","False",NA,"True","True","False",NA,"False","False","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","False",NA,"quiet","False","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"False","True","free"
"28","Adar Kosher Pizza","Las Vegas","Take-out: True, Accepts Credit Cards: True, Price Range: 2, Outdoor Seating: False, Noise Level: quiet, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Delivery: True, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Takes Reservations: True, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Good For Groups: True, Alcohol: none",1.88235294117647,"True","False","casual",NA,"False","False",NA,"False",NA,"False",NA,"True","False","False",NA,"True","True","False",NA,"False","False","False",NA,NA,"False",NA,"True","True",NA,"quiet","False","False","2",NA,"False",NA,"True","False","False","False","False","False",NA,"True",NA,"no"
"29","Adrian's","Mesa","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: False, Caters: False, Noise Level: quiet, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: False, Delivery: False, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: True, breakfast: True, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: True, touristy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",4.8135593220339,"True","False","casual",NA,"True","True",NA,"False","False","False",NA,"False","False","True",NA,"False","True","False",NA,"False","False","False",NA,NA,"False",NA,"True","False",NA,"quiet","False","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"True","True","no"
"30","Aggie's Ice Cream & Grill","Charlotte","Take-out: True, Price Range: 1, Outdoor Seating: False, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: False, valet: False, Delivery: False, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Accepts Credit Cards: True, Good for Kids: True, Good For Groups: True, Alcohol: none",3.1,"True","False","casual",NA,"False","False",NA,"False","False","False",NA,"False","False","False",NA,"True","True","False",NA,"False","False","False",NA,NA,"False",NA,"False","True",NA,"average","False","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"True",NA,NA
"31","Ah-So","Glendale","Take-out: True, Accepts Credit Cards: True, Price Range: 2, Outdoor Seating: False, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: True, brunch: False, breakfast: False, Takes Reservations: True, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",4.01960784313725,"True","False","casual",NA,"False","False",NA,"True","False","False",NA,"False","True","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","False",NA,"average","False","False","2",NA,"False",NA,"True","False","False","False","False","False",NA,"True","True","no"
"32","Ah-So Japanese Restaurant","Mesa","Take-out: True, Accepts Credit Cards: True, Price Range: 2, Outdoor Seating: False, Caters: True, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: True, breakfast: False, brunch: False, Takes Reservations: True, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",3.35555555555556,"True","False","casual",NA,"False","False",NA,"True","True","False",NA,"False","True","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","False",NA,"average","False","False","2",NA,"False",NA,"True","False","False","False","False","False",NA,"True","True","no"
"33","Ah-So Sushi & Steak","Peoria","Take-out: True, Accepts Credit Cards: True, Price Range: 2, Outdoor Seating: False, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: True, breakfast: False, brunch: False, Takes Reservations: True, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",2.70212765957447,"True","False","casual",NA,"False","False",NA,"True","False","False",NA,"False","True","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","False",NA,"average","False","False","2",NA,"False",NA,"True","False","False","False","False","False",NA,"True","True","no"
"34","Aiello's Pizza","Pittsburgh","Take-out: True, Accepts Credit Cards: False, Price Range: 1, Outdoor Seating: False, Caters: False, Noise Level: average, Parking: garage: False, street: True, validated: False, lot: False, valet: False, Attire: casual, Good For Groups: True, Delivery: False, Order at Counter: True, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: True, breakfast: False, brunch: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True, Waiter Service: False, Wi-Fi: no, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",4.05555555555556,"False","False","casual",NA,"False","False",NA,"True","False","False",NA,"False","True","False",NA,"True","True","False",NA,"True","False","False",NA,NA,"False",NA,"False","False",NA,"average","False","False","1",NA,"True",NA,"False","False","False","False","False","False",NA,"False","True","no"
